Original Path,New Path,Alt Text,Source Page,Exists,Error
"images/human-rights.jpeg","extracted-images/human-rights.jpeg","","human-rights.html","true",""
"images/human-rights.jpeg","extracted-images/human-rights.jpeg"," ","human-rights.html","true",""
"../sites/default/files/inline-images/Untitled design.png","MISSING","Sarvesh-kumar-yadav-Signature","human-rights.html","false",""
"../sites/default/files/inline-images/Untitled design.png","MISSING","Arnav-Raj-Signature","human-rights.html","false",""
"images/internship.jpeg","extracted-images/internship.jpeg","","internships.html","true",""
"images/internship.jpeg","extracted-images/internship.jpeg"," ","internships.html","true",""
"images/market-research.jpeg","extracted-images/market-research.jpeg","","market-research.html","true",""
"images/market-research.jpeg","extracted-images/market-research.jpeg"," ","market-research.html","true",""
"images/digital-media-roaster.jpeg","extracted-images/digital-media-roaster.jpeg","","marketing-it.html","true",""
"images/digital-media-roaster.jpeg","extracted-images/digital-media-roaster.jpeg"," ","marketing-it.html","true",""
"images/motion-picture.jpeg","extracted-images/motion-picture.jpeg","","motion-pictures.html","true",""
"images/motion-picture.jpeg","extracted-images/motion-picture.jpeg"," ","motion-pictures.html","true",""
"images/music-brand-partnership.jpeg","extracted-images/music-brand-partnership.jpeg","","music-brand-partnerships.html","true",""
"images/music-brand-partnership.jpeg","extracted-images/music-brand-partnership.jpeg"," ","music-brand-partnerships.html","true",""
"sites/default/files/styles/square/public/2022-03/PromoPhoto081221_08202021062355_large_1.jpeg","MISSING","PP-Music-Brand-Partnerships-1","music-brand-partnerships.html","false",""
"sites/default/files/styles/square/public/2022-03/DojaCat_05072018064023_large_0.jpeg","MISSING","PP-Music-Brand-Partnerships-1","music-brand-partnerships.html","false",""
"sites/default/files/styles/widescreen_landscape/public/2022-03/Zac Brown Band Heashot_2.png","MISSING","PP-Music-Brand-Partnerships-1","music-brand-partnerships.html","false",""
"sites/default/files/styles/square/public/2022-03/DKO096704262021081520large_06212021094947_1.jpeg","MISSING","PP-Music-Brand-Partnerships-1","music-brand-partnerships.html","false",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg","","privacy-policy.html","true",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg"," ","privacy-policy.html","true",""
"images/publishing.jpeg","extracted-images/publishing.jpeg","","publishing.html","true",""
"images/publishing.jpeg","extracted-images/publishing.jpeg"," ","publishing.html","true",""
"images/social-research.jpeg","extracted-images/social-research.jpeg","","social-research.html","true",""
"images/social-research.jpeg","extracted-images/social-research.jpeg"," ","social-research.html","true",""
"images/social-responsibility.jpeg","extracted-images/social-responsibility.jpeg","","social-responsibility.html","true",""
"images/social-responsibility.jpeg","extracted-images/social-responsibility.jpeg"," ","social-responsibility.html","true",""
"images/speakers.jpeg","extracted-images/speakers.jpeg","","speakers.html","true",""
"images/speakers.jpeg","extracted-images/speakers.jpeg"," ","speakers.html","true",""
"images/motion-picture.jpeg","extracted-images/motion-picture.jpeg","","television.html","true",""
"images/motion-picture.jpeg","extracted-images/motion-picture.jpeg"," ","television.html","true",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg","","terms-of-use.html","true",""
"images/client-privacy-notice.jpeg","extracted-images/client-privacy-notice.jpeg"," ","terms-of-use.html","true",""
"images/voiceover.jpeg","extracted-images/voiceover.jpeg","","voiceovers.html","true",""
"images/voiceover.jpeg","extracted-images/voiceover.jpeg"," ","voiceovers.html","true",""
